Question,Answer,Source
What is the product identifier?,"S021001, S021001-SSNF03, S021001-SSNF04",Product numbers
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
What is the product description?,"LIQUID with a clear, colorless appearance and sharp, irritating odor",SECTION 9 ??PHYSICAL AND CHEMICAL PROPERTIES
Who is the manufacturer of the product?,Seastar Chemicals Inc,Supplier Information
What is the emergency telephone number for the product?,CANUTEC (CAN): (613)-996-6666,Context
What are the hazard classifications associated with the product?,"Serious eye damage ??Category 1, Corrosive","SECTION 3 ??Hazards Identification, EU Classification"
What is the signal word used for the product?,Danger,EUROPEAN UNION (EU) CLASSIFICATION AND LABELLING INFORMATION
What are the hazard statements related to the product?,H318: Causes serious eye damage. H302: Harmful if swallowed. H332: Harmful if inhaled.,EU Hazard Statements
What precautions should be taken while handling the product?,"Wear appropriate personal protective equipment, eliminate ignition sources, report leaks/spills/failures of engineering controls, prevent contamination of peroxide solutions, do not perform hot work on an empty vessel/container/piping, wash thoroughly after handling, use outdoors or in a well-ventilated area, wear protective gloves/clothing/eye protection/face protection.","Handling, P264, P270, P271, P280"
What are the first aid measures in case of inhalation?,"If symptoms experienced, remove source contamination or move victim to fresh air. If symptoms persist, immediately obtain medical attention.",SECTION 4 First Aid Measures
What are the first aid measures in case of skin contact?,Wear impervious gloves and appropriate protective clothing. Choose body protection according to the amount and concentration of the substance at the workplace.,"SECTION 4, First Aid Measures, Skin Protection"
What are the first aid measures in case of eye contact?,"If symptoms experienced, immediately flush contaminated eye(s) lukewarm gently flowing water for at least 30 minutes while holding eyelid(s) open. If contact lens present DO NOT delay irrigation attempt remove lens until flushing done. Neutral saline solution may be used as soon it available. Do not interrupt flushing.","SECTION 4, First Aid Measures"
What are the first aid measures in case of ingestion?,"Never give anything by mouth if victim is rapidly losing consciousness, is unconscious or convulsing. Have victim rinse mouth thoroughly with water. Do not induce vomiting. If vomiting occurs naturally, have victim rinse mouth with water again. Immediately obtain medical attention.",SECTION 4 First Aid Measures
What are the suitable extinguishing media for a fire involving the product?,"Water as fog, and large quantities of it. Carbon dioxide or other smothering extinguishers are ineffective on oxidizers.",Extinguishing Media
What are the special hazards arising from the substance during a fire?,"Closed containers may rupture violently due to rapid decomposition if exposed to fire or excessive heat for a sufficient period of time, contaminated with certain metals or dirt. The substance will not burn but can ignite combustible materials that come into contact with it.",SECTION 3 ??Hazards Identification
Are there any special fire handling procedures required for the product?,"Suitable for surrounding fires, use large quantities of water as fog to fight fires involving this material. Concentrations above 27.5% can cause combustible materials such as wood, paper, oils and grease to burst into flames and support the acceleration of burning combustible materials in a fire. Some chemical agents accelerate decomposition. Carbon dioxide or other smothering extinguishers are ineffective on oxidizers.","Extinguishing Media, SECTION 5 ??Fire Fighting Measures"
"How should accidental releases, spill, or leak of the product be handled?","Do not touch spilled material. Stop or reduce leak if safe to do so. Prevent material from entering sewers, waterways, or confined spaces. Absorbent material to contain spill. Remove liquid with compatible pumps or vacuum equipment. Place in suitable, covered, label-vented containers. Flush area with excess water.",SECTION 6 - Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Inspect containers for damage or leaks before handling, label containers, store below 35 °C in a cool, well-ventilated area out of direct sunlight away from heat and ignition sources and combustible materials, consider using closed handling systems, avoid generating vapors or mists, prevent release of vapors or mists into the air, maintain levels of stabilizer, replace water, inspect containers for damage or leaks before handling. For large scale operations, consider stringent control measures such as enclosure or isolation. When storing large quantities, store in an isolated fireproof building if possible and keep quantities stored as small as possible. Store area should be clearly identified, clear of obstruction and accessible only to trained and authorized personnel.","SECTION 7 ??Handling and Storage, SECTION 10 ??Regulations Information"
What are the exposure controls and personal protection measures recommended for the product?,"Use components tested and approved under NIOSH standards for exposure to hazardous chemicals, proper personal protective equipment as indicated in Section 8, controls include preventing contamination of peroxide solutions by any source including dust metals and organic materials, and do not perform hot work on an empty vessel container or piping until all material has been cleared.","Section 8, SECTION 16"
What are the physical and chemical properties of the product?,"The product is a liquid with clear, colorless appearance, sharp, irritating odor, slightly acidic to litmus paper, and has a vapour pressure of 18 mm Hg @ 30°C. It also has a vapour density of 1.2 (air=1), an evaporation rate that is not available, a viscosity of 1.11 mPa·s @ 20°C, and boiling points of 103.6 °C (218.5 °F) for 20% concentration and 106.2 °C for 30% concentration.",SECTION 9 ??PHYSICAL AND CHEMICAL PROPERTIES
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is relatively stable but can decompose in sunlight, liberate oxygen, water, and heat. It may undergo hazardous reactions with organic compounds, metals, metal oxides, reducing agents, and potassium permanganate. The stability depends on temperature, pH, and the presence of impurities.","SECTION 10 Stability and Reactivity, SECTION 3 ??Hazards Identification"
