Question,Answer,Source
What is the product identifier?,ANTIFREEZE,Section I. Identification
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
What is the product description?,"The product is a clear viscous liquid with an odourless, green colour. It has a volatility of 0% (w/w) and a boiling point of Not available. The product's physical properties include a density of 1.115 to 1.145 (Water = 1), a vapour pressure of 0.06 mmHg @ 20°C (68ºF), and a dropping point of 129 to 197°C (264 to 387°F).",Section IX. Physical and Chemical Properties
Who is the manufacturer of the product?,"The manufacturer is identified as 'Product Safety - TAR' in Section 2, with a preparation date of 7/3/2001.",Prepared by Product Safety - TAR on 7/3/2001.
What is the emergency telephone number for the product?,Petro-Canada: 403-296-3000,Section I. Chemical Product and Company Identification
What are the hazard classifications associated with the product?,"The product is classified as: Not available for Fire Hazard, Health Hazard is slight (H), Reactivity is moderate (2*)","Section I. Chemical Product and Company Identification, Section II. Composition and Information on Ingredients"
What is the signal word used for the product?,Not evaluated.,"Section XVI. Other Information, NOT EVALUATED FOR EUROPEAN TRANSPORT NON ?VALU? POUR LE TRANSPORT EUROP?EN."
What are the hazard statements related to the product?,"The product is stable. It may release COx, smoke, and irritating vapours when heated to decomposition. It is reactive with oxidizing agents, acids, and alkalis.",Section X. Stability and Reactivity
What precautions should be taken while handling the product?,"Wear appropriate clothing to prevent skin contact. As a minimum, long sleeves and trousers should be worn. Wear appropriate chemically protective gloves when handling hot product. Ensure gloves are heat-resistant and insulated. Wear appropriate footwear to prevent the product from coming in contact with feet and skin. Respirators may be necessary to prevent overexposure by inhalation when concentrations in air exceed occupational exposure limits.",Section VIII. Exposure Controls/Personal Protection
What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible.  If the victim is not breathing, perform artificial respiration.  Allow the victim to rest in a well ventilated area.  Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.","Section IV. First Aid Measures, Eye Contact"
What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
What are the suitable extinguishing media for a fire involving the product?,"SMALL FIRE:  Use DRY chemicals, CO2, water spray or foam. LARGE FIRE:  Use water spray, fog or foam.  DO NOT use water jet.",Section V. Fire-fighting Measures
What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section V. Fire-fighting Measures
Are there any special fire handling procedures required for the product?,"Use DRY chemicals, CO2, water spray or foam for small fires. For large fires, use water spray, fog or foam. DO NOT use water jet.","Section IV. First Aid Measures, Section V. Fire-fighting Measures"
"How should accidental releases, spill, or leak of the product be handled?","For small spills or leaks, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills or leaks, absorb with an inert material and put the spilled material in an appropriate waste disposal, and dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Keep container dry, tightly closed, in a cool, well-ventilated place. Avoid contamination with reactive substances. After handling, always wash hands thoroughly with soap and water. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear long sleeves and trousers for minimum protection against skin contact. Ensure that eyewash station and safety shower are close to work-station. Use ventilation if user's operations generate vapours or mist, and ensure that respirators may be necessary to prevent overexposure by inhalation.","Section VI. Accidental Release Measures, Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the exposure controls and personal protection measures recommended for the product?,"Wear appropriate chemically protective gloves, special ventilation is not necessary for normal application but use ventilation to keep exposure to airborne contaminants below the exposure limit if user's operations generate vapours or mist. Make-up air should always be supplied to balance air removed by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. For body protection wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation.",Section VIII. Exposure Controls/Personal Protection
What are the physical and chemical properties of the product?,"Physical State and Appearance: Clear viscous liquid. Colour: Green. Odour: Odourless. Density: 1.115 to 1.145 (Water = 1). Vapour Density: 2.1 (Air=1). Volatility: 0% (w/w). Boiling Point: Not available. Vapour Pressure: 0.06 mmHg @ 20°C (68ºF). Solubility: Soluble in water, methanol and diethyl ether.",Section IX. Physical and Chemical Properties
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but it may be reactive with oxidizing agents, acids, and alkalis. It also has hazardous decomposition products that may release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
What are the possible hazardous decomposition products of the product?,"COx, smoke and irritating vapours","Section X. Stability and Reactivity, Decomposition Products"
What is the toxicological information available for the product?,"The product is slightly hazardous in case of eye contact (irritant), extremely dangerous in case of ingestion, slightly hazardous in case of inhalation (lung irritant) which can cause nausea, headaches and vomiting, and slightly hazardous in case of skin contact (irritant). It may also be toxic to kidneys and liver. Repeated or prolonged exposure can produce target organs damage. The substance is fetotoxic and teratogenic in mice at levels below maternal toxicity.",Section XI. Toxicological Information
