Source(T/F),Answer(T/F),Question,Answer,Source,
T,T,What is the product identifier?,Antifreeze,"Section I. Identification, Product Identifier",
T/F,T/F,When was the Safety Data Sheet issued?,Information not available in the provided context,N/A,"沒找到資料， 更改問題為「When is the SDS prepared?」的答案為""The SDS was prepared by Product Safety - TAR on 7/3/2001."""
T,T,What is the product description?,Antifreeze,Section I. Product Identifier,
T,T,Who is the manufacturer of the product?,Petro-Canada,"Section XVI. Other Information, Section VI. Accidental Release Measures",
T,T,What is the emergency telephone number for the product?,"403-296-3000 for Petro-Canada, 613-996-6666 for Canutec Transportation",Section I. Chemical Product and Company Identification,
T,T,What are the hazard classifications associated with the product?,"The product is classified as WHMIS-CPR compliant, acceptable for use under the provisions of WHMIS-CPR, listed on CEPA-DSL (Domestic Substances List), US EPA-TSCA Inventory, and follows hazard criteria of Controlled Products Regulations (CPR). It has a HMIS rating of 0 in insignificant for health hazards. The product is stable but reactive with oxidizing agents, acids, and alkalis; it may release COx, smoke, and irritating vapours when heated to decomposition.","Section I, Section II, Section X, Section XV, Section VI",
T,T,What is the signal word used for the product?,Information not available in the provided context,N/A,
T,T,What are the hazard statements related to the product?,"The product is slightly irritating to skin, eyes, and respiratory tract. It is extremely dangerous in case of ingestion. Reacts with oxidizing agents, acids, and alkalis.","Section III. Hazards Identification., Section X. Stability and Reactivity",
T,T,What precautions should be taken while handling the product?,"For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. Seek medical attention.",Section IV. First Aid Measures,
T,T,What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures,
T,T,What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures,
T,T,What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section IV. First Aid Measures, Ingestion",
T,T,What are the suitable extinguishing media for a fire involving the product?,"SMALL FIRE:  Use DRY chemicals, CO2, water spray or foam. LARGE FIRE:  Use water spray, fog or foam.  DO NOT use water jet.",Section V. Fire-fighting Measures,
T,T,What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke, and irritating vapours as products of incomplete combustion.","Section IV. First Aid Measures, Section V. Fire-fighting Measures",
T,T,Are there any special fire handling procedures required for the product?,"Yes, specific fire handling procedures are required. For LARGE FIRE, use water spray, fog or foam, but DO NOT use water jet.",Section V. Fire-fighting Measures,
T,T,"How should accidental releases, spill, or leak of the product be handled?","For small spills, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills, absorb with an inert material and put the spilled material in an appropriate waste disposal container. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures,
T,T,What precautions should be taken for safe handling and storage of the product?,"To ensure safe handling and storage of the product, follow these precautions: Wear appropriate footwear to prevent product from coming in contact with feet and skin. Ensure that eyewash station and safety shower are close to work-station. When handling hot product, wear heat resistant and insulated gloves. Use ventilation if user's operations generate vapours or mist to keep exposure to airborne contaminants below the exposure limit. For normal application, special ventilation is not necessary. Make-up air should always be supplied to balance air removed by exhaust ventilation. Keep container dry. Keep container tightly closed. Keep in a cool, well-ventilated place. Avoid contamination with reactive substances.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the exposure controls and personal protection measures recommended for the product?,"Engineering controls such as special ventilation may be necessary to keep exposure to airborne contaminants below the exposure limit. Wear appropriate chemically protective gloves, especially when handling hot product ensure gloves are heat resistant and insulated. Personal protection equipment varies depending upon conditions of use. For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. When concentrations in air may exceed occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices, or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles, and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the physical and chemical properties of the product?,"The product is a clear viscous liquid, green in colour, with an odourless smell. It has a density of 1.115 to 1.145 (Water = 1), a vapour density of 2.1 (Air=1), and a vapour pressure of 0.06 mmHg @ 20簞C (68繙F). It is soluble in water, methanol, and diethyl ether. The product has a boiling point of 129 to 197簞C (264 to 387簞F) and is reactive with oxidizing agents, acids, and alkalis.",Section IX. Physical and Chemical Properties,
T,T,Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but it may release COx, smoke, and irritating vapours when heated to decomposition. It is reactive with oxidizing agents, acids, and alkalis.",Section X. Stability and Reactivity,
T,T,What are the possible hazardous decomposition products of the product?,"COx, smoke and irritating vapours","Section X. Stability and Reactivity, Decomposition Products",
