Question,Answer,Source
What is the product identifier?,Information not available in the provided context,N/A
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
What is the product description?,"Clear viscous liquid. Soluble in water, methanol and diethyl ether. Odourless. Green. Softening Point: 129 to 197°C (264 to 387°F).","Section XVI. Other Information, Section X. Stability and Reactivity"
Who is the manufacturer of the product?,Petro-Canada,"Section XV. Regulatory Information, Section XVI. Other Information"
What is the emergency telephone number for the product?,403-296-3000,"Section I. Chemical Product and Company Identification, In case of Emergency"
What are the hazard classifications associated with the product?,"Reactivity - Will not occur under normal working conditions; May release COx, smoke and irritating vapours when heated to decomposition. Contact can cause slight irritation of skin, eyes and respiratory tract. Extremely dangerous in case of ingestion.","Section I. Chemical Product and Company Identification, Section II. Composition and Information on Ingredients, Section III. Hazards Identification, Section X. Stability and Reactivity"
What is the signal word used for the product?,D-2A,WHMIS (Canada)
What are the hazard statements related to the product?,"The product is stable, may release COx, smoke and irritating vapours when heated to decomposition, reactive with oxidizing agents, acids and alkalis.","Section II. Composition and Information on Ingredients, Section III. Hazards Identification, Section X. Stability and Reactivity"
What precautions should be taken while handling the product?,"Wear appropriate chemically protective gloves, When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of ingestion?,Allow the victim to rest in a well ventilated area. Seek medical attention. DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section VII. Handling and Storage, Section IV. First Aid Measures"
What are the suitable extinguishing media for a fire involving the product?,"Use DRY chemicals, CO2, water spray or foam for small fire, use water spray, fog or foam for large fire. DO NOT use water jet.","Section IV. First Aid Measures, Section V. Fire-fighting Measures"
What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section IV. First Aid Measures
Are there any special fire handling procedures required for the product?,"For SMALL FIRE, use DRY chemicals, CO2, water spray or foam. For LARGE FIRE, use water spray, fog or foam. DO NOT use water jet.","Section IV. First Aid Measures, Section V. Fire-fighting Measures"
