,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,"Here is the question that can be fully answered from the given context:

""According to the provided information, what should you do if there is a small spill or leak of the material?","['Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water\nand non-abrasive soap.  Seek medical attention.\nEvacuate the victim to a safe area as soon as possible.  If the victim is not breathing, perform artificial respiration.  Allow the\nvictim to rest in a well ventilated area.  Seek medical attention.\nSection IV. First Aid Measures\nNote to Physician\nNot available\nAuto-Ignition\nTemperature\nProducts of\nCombustion\nFlash Points\nFire Fighting\nMedia and\nInstructions\nFlammable Limits\nFire Hazards in\nPresence of\nVarious Substances\n413ºC\nCarbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.\nClosed Cup: 116ºC (Tagliabue)\nOpen Cup: 116ºC (Cleveland)\nLower: 3.2%, Upper: 15.3%\nSMALL FIRE:  Use DRY chemicals, CO2, water spray or foam.\nLARGE FIRE:  Use water spray, fog or foam.  DO NOT use water jet.\nCombustible in presence of  open flames and\nsparks.\nExplosion Hazards\nin Presence of\nVarious Substances\nNot a product presenting risks of explosion.\nFlammability\nMay be combustible at high temperature.\nSection V. Fire-fighting Measures\nContinued on Next Page\nAvailable in French\nANTIFREEZE\nPage Number: 2\nSection VI. Accidental Release Measures\nMaterial Release\nor Spill\nSmall spill or leak:  Dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste\ndisposal container.']","If there is a small spill or leak, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_None_2'}]",True
1,"Here is the question that can be fully answered from the given context:

""Who or what is CAS in the context of chemical information and regulations?","[""Section XVI. Other Information\nGlossary\nACGIH - American Conference of Governmental Industrial Hygienists\nADR - Agreement on Dangerous goods by Road (Europe)\nASTM - American Society for Testing and Materials (\nBOD5 - Biological Oxygen Demand in 5 days\nCAN/CGA B149.2\nPropane Installation Code\nCAS - Chemical Abstract Services\nCEPA - Canadian Environmental Protection Act\nCERCLA - Comprehensive Environmental Response, Compensation and\nLiability Act\nCFR - Code of Federal Regulations\nCHIP - Chemicals Hazard Information and Packaging Approved Supply List\nCOD5 - Chemical Oxygen Demand in 5 days\nCPR - Controlled Products Regulations\nDOT - Department of Transport\nDSCL - Dangerous Substances Classification and Labeling (Europe)\nDSD/DPD - Dangerous Substances or Dangerous Preparations Directives\n(Europe)\nDSL - Domestic Substance List\nEEC/EU - European Economic Community/European Union\nEINECS - European Inventory of Existing Commercial Chemical Substances\nEPCRA - Emergency Planning and Community Right to Know Act\nIRIS - Integrated Risk Information System\nLD50/LC50 - Lethal Dose/Concentration kill 50%\nLDLo/LCLo - Lowest Published Lethal Dose/Concentration\nNAERG'96 - North American Emergency Response Guide Book (1996)\nNFPA - National Fire Prevention Association\nNIOSH - National Institute for Occupational Safety & Health\nNPRI - National Pollutant Release Inventory\nNSNR - New Substances Notification Regulations (Canada)\nNTP - National Toxicology Program""]","CAS refers to Chemical Abstract Services, which is a database of chemical substances.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_None_10'}]",True
2,"Here is a question that can be fully answered from the given context:

""According to the provided information, what are the potential hazards associated with inhaling this substance?","['Chronic or Other Toxic Effects\nDermal Route:\nInhalation Route:\nOral Route:\nEye Irritation/Inflammation:\nImmunotoxicity:\nSkin Sensitization:\nRespiratory Tract Sensitization:\nMutagenic:\nNot available\nNot available\nNot available\nNot available\nSlightly hazardous in case of eye contact (irritant).\nExtremely dangerous in case of ingestion.\nSlightly hazardous in case of inhalation (lung irritant).  Can cause nausea, headaches and vomiting.\nSlightly hazardous in case of skin contact (irritant).\nContinued on Next Page\nAvailable in French\nANTIFREEZE\nPage Number: 3\nOther Considerations\nThe substance may be toxic to kidneys and liver.  Repeated or prolonged exposure to the substance can produce\ntarget organs damage.  Repeated exposure to a highly toxic material may produce general deterioration of health\nby an accumulation in one or many human organs.\nReproductive Toxicity:\nTeratogenicity/Embryotoxicity:\nCarcinogenicity (ACGIH):\nCarcinogenicity (IARC):\nCarcinogenicity (NTP):\nCarcinogenicity (IRIS):\nCarcinogenicity (OSHA):\nNot available\nNot available\nNot available\nNot available\nACGIH A4: not classifiable as a human carcinogen.\nFetotoxic and teratogenic in mice at levels below maternal toxicity.\nNot available\nSection XII. Ecological Information\nEnvironmental Fate\nNot available\nBOD5 and COD\nProducts of\nBiodegradation\nPersistance/\nBioaccumulation\nPotential\nAdditional Remarks\nNot available\nNot available\nNot available\nNo additional remark.\nSection XIII. Disposal Considerations\nWaste Disposal']","Inhaling this substance can cause slight hazard (lung irritant) and may produce symptoms such as nausea, headaches, and vomiting.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_None_7'}]",True
3,"Here is a question that can be fully answered from the given context:

""Who should be contacted for more information regarding this product's regulatory compliance?""

This question uses the keyphrase ""Product Safety"" and can be answered directly from the provided context, which mentions ""Please contact Product Safety for more information.","['{""0"":{""0"":"""",""1"":"""",""2"":"""",""3"":""""},""1"":{""0"":""Section XV. Regulatory Information"",""1"":""This product is acceptable for use under the provisions of WHMIS-CPR. All components of this formulation are listed on the\\nOther\\nCEPA-DSL (Domestic Substances List).\\nRegulations\\nAll components of this formulation are listed on the US EPA-TSCA Inventory.\\nThis product has been classified in accordance with the hazard criteria of the Controlled Products Regulations (CPR) and the\\nMSDS contains all of the information required by the CPR.\\nPlease contact Product Safety for more information."",""2"":""Not evaluated.\\nD-2A\\nDSD\\/DPD (EEC)\\nWHMIS (Canada)"",""3"":""NOT EVALUATED FOR\\nADR (Europe)\\nTDG (Canada)\\nEUROPEAN TRANSPORT\\n(Pictograms)\\n(Pictograms)\\nNON \\u00c9VALU\\u00c9 POUR LE\\nTRANSPORT EUROP\\u00c9EN.""}}']",The answer to given question is present in context,simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 3, 'type': 'table', 'table_index': 12, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_3_2'}]",True
4,"Here's a question that can be fully answered from the given context:

""According to Section VIII, what types of personal protective equipment are recommended for protecting hands when handling the product?","[""Handling\nSection VII. Handling and Storage\nEngineering Controls\nPersonal Protection  -  The selection of personal protective equipment varies, depending upon conditions of use.\nFor normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to\nkeep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air\nremoved by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station.\nWear appropriate footwear to prevent product from coming in contact with feet and skin.\nSection VIII. Exposure Controls/Personal Protection\nEyes\nBody\nRespiratory\nHands\nFeet\nWear appropriate chemically protective gloves.  When handling hot product ensure gloves are heat resistant and insulated.\nWhere concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your\narea) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved\nrespirators may be necessary to prevent overexposure by inhalation.\nWear appropriate clothing to prevent skin contact.  As a minimum long sleeves and trousers should be worn.\nEye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.  If\nproduct is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be\nconsidered.""]",When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate chemically protective gloves.,simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_None_4'}]",True
5,"Here is the question that can be fully answered from the given context:

""Under what conditions should NIOSH approved respirators be used to prevent overexposure by inhalation?","['face  shield  should  be\\nconsidered.\\nWear appropriate clothing to prevent skin contact.  As a minimum long sleeves and trousers should be worn.\\nBody\\nWhere concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your\\nRespiratory\\narea)  and  where  engineering,  work  practices  or  other  means  of  exposure  reduction  are  not  adequate,  NIOSH  approved\\nrespirators may be necessary to prevent overexposure by inhalation.\\nWear appropriate chemically protective gloves.  When handling hot product ensure gloves are heat resistant and insulated.\\nHands\\nWear appropriate footwear to prevent product from coming in contact with feet and skin.\\nFeet"",""3"":"""",""4"":"""",""5"":"""",""6"":""""}}']","NIOSH approved respirators may be necessary to prevent overexposure by inhalation where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 2, 'type': 'table', 'table_index': 6, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_2_2'}]",True
6,"Here is the question that can be fully answered from the given context:

""Is bioaccumulation potential a factor in the environmental fate of a substance?","['{""0"":{""0"":"""",""1"":"""",""2"":"""",""3"":""""},""1"":{""0"":""Section XII. Ecological Information"",""1"":""Not available\\nEnvironmental Fate"",""2"":""Not available\\nBOD5 and COD"",""3"":""No additional remark.\\nAdditional Remarks""},""2"":{""0"":"""",""1"":""Not available\\nPersistance\\/\\nBioaccumulation\\nPotential"",""2"":""Not available\\nProducts of\\nBiodegradation"",""3"":""""}}']","Yes, persistence and bioaccumulation potential are factors in the environmental fate of a substance.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 3, 'type': 'table', 'table_index': 11, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_3_1'}]",True
7,"Here is the question that can be fully answered from the given context:

""What are the fire hazards and products of combustion associated with combustible materials?","['{""0"":{""0"":"""",""1"":"""",""2"":"""",""3"":"""",""4"":"""",""5"":""""},""1"":{""0"":""Section V. Fire-fighting Measures"",""1"":""May be combustible at high temperature.\\nFlammability"",""2"":""Closed Cup: 116\\u00baC (Tagliabue)\\nFlash Points\\nOpen Cup: 116\\u00baC (Cleveland)"",""3"":""Combustible  in  presence  of    open  flames  and\\nFire Hazards in\\nsparks.\\nPresence of\\nVarious Substances"",""4"":""Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.\\nProducts of\\nCombustion"",""5"":""SMALL FIRE:  Use DRY chemicals, CO2, water spray or foam.\\nFire Fighting\\nLARGE FIRE:  Use water spray, fog or foam.  DO NOT use water jet.\\nMedia and\\nInstructions""},""2"":{""0"":"""",""1"":""Lower: 3.2%, Upper: 15.3%\\nFlammable Limits"",""2"":""413\\u00baC\\nAuto-Ignition\\nTemperature"",""3"":""Not a product presenting risks of explosion.\\nExplosion Hazards\\nin Presence of\\nVarious Substances"",""4"":"""",""5"":""""}}']","Combustible materials may be hazardous in the presence of open flames and sparks. The products of incomplete combustion include carbon oxides (CO, CO2), smoke, and irritating vapours.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 1, 'type': 'table', 'table_index': 4, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_1_4'}]",True
8,"Here is the question that can be fully answered from the given context:

""According to the guidelines, what should be considered when determining eye protection for users of this product?","['{""0"":{""0"":"""",""1"":"""",""2"":"""",""3"":"""",""4"":"""",""5"":"""",""6"":""""},""1"":{""0"":""Section VIII. Exposure Controls\\/Personal Protection"",""1"":""For normal application, special ventilation is not necessary. If user\'s operations generate vapours or mist, use ventilation to\\nEngineering Controls\\nkeep  exposure  to  airborne  contaminants  below  the  exposure  limit.  Make-up  air  should  always  be  supplied  to  balance  air\\nremoved by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station."",""2"":""Personal Protection  -  The selection of personal protective equipment varies, depending upon conditions of use.\\nEye protection (i.e., safety glasses, safety goggles and\\/or face shield) should be determined based on conditions of use.  If\\nEyes\\nproduct  is  used  in  an  application  where  splashing  may  occur,  the  use  of  safety  goggles  and\\/or  a  face  shield  should  be\\nconsidered.\\nWear appropriate clothing to prevent skin contact.  As a minimum long sleeves and trousers should be worn.\\nBody\\nWhere concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your\\nRespiratory\\narea)  and  where  engineering,  work  practices  or  other  means  of  exposure  reduction  are  not  adequate,  NIOSH  approved\\nrespirators may be necessary to prevent overexposure by inhalation.\\nWear appropriate chemically protective gloves.  When handling hot product ensure gloves are heat resistant and']","If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered.",simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 2, 'type': 'table', 'table_index': 6, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_2_1'}]",True
9,"Here is a question that can be fully answered from the given context:

""What does IRIS stand for in the context of risk information?""

This question can be answered directly from the context, which mentions ""IRIS - Integrated Risk Information System"".","['{""0"":{""0"":"""",""1"":"""",""2"":"""",""3"":""Continued on Next Page\\nAvailable in French""},""1"":{""0"":""Section XVI. Other Information"",""1"":""Available upon request.\\nReferences\\n* Marque de commerce de Petro-Canada - Trademark"",""2"":""Glossary\\nIRIS - Integrated Risk Information System\\nACGIH - American Conference of Governmental Industrial Hygienists\\nLD50\\/LC50 - Lethal Dose\\/Concentration kill 50%\\nADR - Agreement on Dangerous goods by Road (Europe)\\nLDLo\\/LCLo - Lowest Published Lethal Dose\\/Concentration\\nASTM - American Society for Testing and Materials (\\nNAERG\'96 - North American Emergency Response Guide Book (1996)\\nBOD5 - Biological Oxygen Demand in 5 days\\nNFPA - National Fire Prevention Association\\nCAN\\/CGA B149.2\\nPropane Installation Code\\nNIOSH - National Institute for Occupational Safety & Health\\nCAS - Chemical Abstract Services\\nNPRI - National Pollutant Release Inventory\\nCEPA - Canadian Environmental Protection Act\\nNSNR - New Substances Notification Regulations (Canada)\\nCERCLA - Comprehensive Environmental Response, Compensation and\\nNTP - National Toxicology Program\\nLiability Act\\nOSHA - Occupational Safety & Health Administration\\nCFR - Code of Federal Regulations\\nPEL - Permissible Exposure Limit\\nCHIP - Chemicals Hazard Information and Packaging Approved Supply List\\nRCRA - Resource Conservation and Recovery Act\\nCOD5 - Chemical Oxygen Demand in 5 days\\nSARA - Superfund Amendments and Reorganization Act\\nCPR - Controlled Products Regulations\\nSD - Single Dose\\nDOT -']",IRIS stands for Integrated Risk Information System.,simple,"[{'source': 'data2\\ANTIFREEZE Petro Canada SDS.pdf', 'page': 3, 'type': 'table', 'table_index': 13, 'document_name': 'ANTIFREEZE Petro Canada SDS.pdf', 'chunk_id': 'data2\\ANTIFREEZE Petro Canada SDS.pdf_3_3'}]",True
