Question,Answer,Source
What is the product identifier?,FORMULA 409 ALL PURPOSE CLEANER,I. Product
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
What is the product description?,"GREEN LIQUID, All Purpose Cleaner, Misty Breeze Fragrance, Lemon Fresh Fragrance",I Product
Who is the manufacturer of the product?,The Clorox Company,I. Product
What is the emergency telephone number for the product?,"For Medical Emergencies call: (800) 446-1014, For Transportation Emergencies Chemtrac (800) 424-9300","II Health Hazard Data, III Hazardous Ingredients, Clorox Sales Company"
What are the hazard classifications associated with the product?,"The product is classified as an eye irritant, and there are no hazard classifications associated with its ingredients.","II Health Hazard Data, III Hazardous Ingredients"
What is the signal word used for the product?,CAUTION,II Health Hazard Data
What are the hazard statements related to the product?,"The hazard statements related to this product are respiratory irritation, skin absorption leading to overall exposure, toxic products of combustion. No specific hazard statements for carcinogenicity or explosion/reaction hazards were found.",Section III Hazardous Ingredients
What precautions should be taken while handling the product?,"Wear safety glasses. With repeated or prolonged use, wear gloves. Use general ventilation to minimize exposure to vapor or mist. Minimize skin contact and inhalation of vapor or mist. Not recommended for use on soft vinyl, varnishes or aluminum. If sprayed on these surfaces, rinse and wipe dry immediately.",IV Special Protection and Precautions
What are the first aid measures in case of inhalation?,"In case of respiratory irritation develops or breathing becomes difficult, seek medical attention.",IV Special Protection and Precautions
What are the first aid measures in case of skin contact?,"For skin contact, wear gloves. If necessary, wash skin thoroughly with soap and water.",V Special Protection and Precautions
What are the first aid measures in case of eye contact?,"Immediately flush eyes with plenty of water. If irritation persists, see a doctor.",Section II - Health Hazard Data
What are the first aid measures in case of ingestion?,Information not available in the provided context,N/A
What are the suitable extinguishing media for a fire involving the product?,"Foam, Dry Chemical, Water, CO2",VIII Fire and Explosion Data
What are the special hazards arising from the substance during a fire?,Products of combustion are toxic,VIII Fire and Explosion Data
Are there any special fire handling procedures required for the product?,"Yes, use foam, dry chemical, water, or CO2 as fire extinguishing agents. Products of combustion are toxic.",VIII Fire and Explosion Data
"How should accidental releases, spill, or leak of the product be handled?","Accidental releases, spill, or leak of the product should be handled by Absorbing and containerizing the spilled material. Wash residual down to a sanitary sewer. Contact the sanitary treatment facility in advance to assure their ability to process washed-down material. Dispose of in accordance with all applicable federal, state, and local regulations.",VI Spill Procedures/Waste Disposal
What precautions should be taken for safe handling and storage of the product?,"Wear safety glasses. With repeated or prolonged use, wear gloves. Use general ventilation to minimize exposure to vapor or mist. Minimize skin contact and inhalation of vapor or mist. Not recommended for use on soft vinyl, varnishes or aluminum. If sprayed on these surfaces, rinse and wipe dry immediately.",IV Special Protection and Precautions
What are the exposure controls and personal protection measures recommended for the product?,"Engineering Controls: Use general ventilation to minimize exposure to vapor or mist. Hygienic Practices: Wear safety glasses. With repeated or prolonged use, wear gloves. Work Practices: Minimize skin contact and inhalation of vapor or mist. Not recommended for use on soft vinyl, varnishes or aluminum. If sprayed on these surfaces, rinse and wipe dry immediately.",IV Special Protection and Precautions
What are the physical and chemical properties of the product?,"The product's physical properties include a pH of 12.0, complete solubility in water, and a specific gravity of 1.015 (with water as reference). The chemical properties are stable under normal use and storage conditions.","IX Physical Data, VII Reactivity Data"
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,The product is stable under normal use and storage conditions. There are no hazardous reactions to be aware of.,"VII Reactivity Data, IX Physical Data"
What are the possible hazardous decomposition products of the product?,Products of combustion are toxic,"IX Physical Data, VIII Fire and Explosion Data"
What is the toxicological information available for the product?,"The product contains Alkyl (C1240%; C1450% dimethyl benzyl Ammonium chloride, Ethylene Glycol, and Monobutyl Ether. The substance can be absorbed through the skin and may contribute to overall exposure. None of the ingredients in this product are on the IARC, NTP or OSHA carcinogen lists. The TLV-TWA for Ethylene Glycol is 25 ppm, and the PEL for Monobutyl Ether is also 25 ppm.","III Hazardous Ingredients, IV Special Protection and Precautions"
What are the safety precautions and handling instructions for using the product?,"To minimize exposure to vapor or mist, use general ventilation. Wear safety glasses with repeated or prolonged use, and gloves are recommended. Minimize skin contact and inhalation of vapor or mist. Do not spray on soft vinyl, varnishes, or aluminum.",IV Special Protection and Precautions
