Source,,Question,Answer,Source
,,What is the product identifier?,ANTIFREEZE,"Section I. Identification, Section X. Stability and Reactivity"
,,When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
,,What is the product description?,"Clear viscous liquid, Green colour, Odourless",Section IX. Physical and Chemical Properties
,,Who is the manufacturer of the product?,"The manufacturer is not explicitly stated in the provided context, but Product Safety is mentioned as the entity responsible for preparing and entering data into the SDS.","Section IX. Physical and Chemical Properties, Section II. Hazards Identification"
,,What is the emergency telephone number for the product?,"Petro-Canada: 403-296-3000, Canutec Transportation: 613-996-6666, Poison Control Centre (consult local telephone directory for emergency number(s))",Section I. Chemical Product and Company Identification
,,What are the hazard classifications associated with the product?,"Reactivity, Health Hazard, Fire Hazard. The product is stable but may release COx, smoke, and irritating vapours when heated to decomposition. It is also reactive with oxidizing agents, acids, and alkalis.","Section X. Stability and Reactivity, Section III. Hazards Identification"
,,What is the signal word used for the product?,Warning,"Pictograms, Section XVI. Other Information"
,,What are the hazard statements related to the product?,"The product is an extremely dangerous substance in case of ingestion. Contact can cause slight irritation of skin, eyes, and respiratory tract.","Section III. Hazards Identification, Section II. Composition and Information on Ingredients"
,,What precautions should be taken while handling the product?,"Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Wear appropriate chemically protective gloves when handling hot product ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Respirators may be necessary to prevent overexposure by inhalation.",Section VII. Handling and Storage
,,What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible.  If the victim is not breathing, perform artificial respiration.  Allow the victim to rest in a well ventilated area.  Seek medical attention.",Section IV. First Aid Measures
,,What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
,,What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
,,What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
,,What are the suitable extinguishing media for a fire involving the product?,"Use DRY chemicals, CO2, water spray or foam for small fires. For large fires, use water spray, fog or foam, but DO NOT use a water jet.",Section V. Fire-fighting Measures
,,What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section V. Fire-fighting Measures
,,Are there any special fire handling procedures required for the product?,"Use water spray, fog or foam for large fires. Avoid using water jet. Combustible in presence of open flames and sparks.",Section V. Fire-fighting Measures
,,"How should accidental releases, spill, or leak of the product be handled?","For accidental releases, spill, or leak of the product, small spills should be diluted with water and mopped up or absorbed with an inert DRY material and placed in an appropriate waste disposal container. Large spills should be absorbed with an inert material and put into an appropriate waste disposal. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
