Question,Answer,Source
What is the product identifier?,Trade name: H1,* 1 Identification
When was the Safety Data Sheet issued?,06/04/2015,Date of preparation / last revision
What is the product description?,"Catalyst for the production of certain chemical compounds, specifically 1,4-dihydroxybenzene.","Product name from SDS (not explicitly stated but inferred), Hazard(s) identification"
Who is the manufacturer of the product?,Cyberbond LLC,"Identification, Manufacturer/Supplier"
What is the emergency telephone number for the product?,"International-1-(352)-323-3500, US & Canada-1-(800)-535-5053","Page 1/7, Safety information"
What are the hazard classifications associated with the product?,"The product is classified as Combustible liquid. It also causes skin irritation, serious eye irritation, and may cause respiratory irritation.","Hazard statements, Section 2: Hazard identification"
What is the signal word used for the product?,Warning,"GHS label elements, Hazard pictograms"
What are the hazard statements related to the product?,Combustible liquid. Causes skin irritation. Causes serious eye irritation. May cause respiratory irritation.,"Hazard statements, Section 2"
What precautions should be taken while handling the product?,"Ensure adequate ventilation, Wear protective gloves, Eye protection / face protection., Wash thoroughly after handling, Use only outdoors or in a well-ventilated area.","Section 7: Handling and storage, Section 8: Personal Protection Equipment"
What are the first aid measures in case of inhalation?,Information not available in the provided context,N/A
What are the first aid measures in case of skin contact?,Immediately wash with water and soap and rinse thoroughly.,After skin contact
What are the first aid measures in case of eye contact?,Rinse opened eye for several minutes under running water. Then consult a doctor.,"After eye contact, Information for doctor"
What are the first aid measures in case of ingestion?,Information not available in the provided context,N/A
What are the suitable extinguishing media for a fire involving the product?,"CO2, powder, or water spray",5 Fire-fighting measures
What are the special hazards arising from the substance during a fire?,Toxic fumes,5 Fire-fighting measures
Are there any special fire handling procedures required for the product?,"No special fire handling procedures are required for the product. CO2, powder or water spray can be used to extinguish a fire.",5 Fire-fighting measures
"How should accidental releases, spill, or leak of the product be handled?","Evacuate area, ventilate space, prevent ignition sources, contain spill if possible. For large spills, call a professional cleanup service or emergency services for assistance.","Section 8 (Handling and Storage), Section 7 (Handling and storage), Section 5 (Reactivity)"
What precautions should be taken for safe handling and storage of the product?,"Store in a cool location, store only in the original receptacle, keep away from oxidizing agents, keep receptacle tightly sealed, use the usual precautionary measures for handling chemicals, wear protective gloves, eye protection and face protection, avoid contact with eyes and skin, wash thoroughly after handling. Store locked up, in a well-ventilated place, keep container tightly closed.","Storage, Personal Protective Equipment, General protective and hygienic measures, Exposure controls"
What are the exposure controls and personal protection measures recommended for the product?,"Ensure good ventilation/exhaustion at the workplace. General protective and hygienic measures include following the usual precautionary measures for handling chemicals, keeping away from foodstuffs, beverages, and feed, immediately removing soiled and contaminated clothing, avoiding contact with eyes and skin, wearing protective gloves (impervious gloves), breathing equipment is not necessary if room is well-ventilated. In case of accident or exposure, follow the instructions provided under 'Emergency procedures' section.","Exposure controls/personal protection, Further information about storage conditions, Information on emergency procedures"
What are the physical and chemical properties of the product?,"The product is a liquid with a characteristic of being according to product specification. Its physical properties include a melting point > 150 °C (> 302 °F), a boiling point of 87 °C (189 °F), and a viscosity that is not determined. It has a density of 1.05 g/cm³ (8.762 lbs/gal) and a volume-specific mass of 1.05 kg/m³. The product is not self-igniting, and its solubility in water is not miscible or difficult to mix.",Section titles: Physical and Chemical Properties
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is chemically stable, but reacts with water and acids. No further relevant information on hazardous reactions is available.",Section 10 Stability and reactivity
What are the possible hazardous decomposition products of the product?,No dangerous decomposition products known,"10 Stability and reactivity, Hazardous decomposition products"
What is the toxicological information available for the product?,Irritant. Primary irritant effect on skin: Irritant to skin and mucous membranes. On eye: Irritating effect. Sensitization possible through skin contact.,"11 Toxicological information, · Information on toxicological effects, · Primary irritant effect, and · Sensitization"
