Question,Answer,Source
What is the product identifier?,BioRem-2000 Surface Cleaner,Product and Company Identification
When was the Safety Data Sheet issued?,5/1/2015,Product and Company Identification
What is the product description?,Amber liquid,Product Description
Who is the manufacturer of the product?,"Clift Industries, Inc.",Product and Company Identification
What is the emergency telephone number for the product?,800-424-9300,"Product and Company Identification, Emergency Telephone"
What are the hazard classifications associated with the product?,"Acute toxicity, Oral, Dermal, Inhalation Category 5; Eye Irritation, Category 2B",Hazards Identification
What is the signal word used for the product?,Warning!,"Hazards Identification, Signal Word"
What are the hazard statements related to the product?,H303+H313 + H333 + H320,Hazard Statement
What precautions should be taken while handling the product?,Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling.,"Handling Precautions, Section 7"
What are the first aid measures in case of inhalation?,"Not normally required. Move to fresh air. If symptoms persist, get medical attention.",4. First Aid Measures
What are the first aid measures in case of skin contact?,"Wash with soap and water. If irritation persists, contact a physician.",First Aid Measures
What are the first aid measures in case of eye contact?,"Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.","First Aid Measures, Eye Contact:"
What are the first aid measures in case of ingestion?,Not normally required. Contact a physician if ingested.,"Ingestion, First Aid Measures"
What are the suitable extinguishing media for a fire involving the product?,"Water spray, dry chemical or carbon dioxide (for unused form) and that which is compatible to liquid(s) absorbed (for used form)",5. Fire Fighting Measures
What are the special hazards arising from the substance during a fire?,Carbon monoxide and/or carbon dioxide,"Fire Fighting Measures, Hazardous Combustion Products"
Are there any special fire handling procedures required for the product?,None required.,"Fire Fighting Measures, Special Fire Fighting Procedures"
"How should accidental releases, spill, or leak of the product be handled?","If material is unused, collect and recover for reuse. Wear protective equipment. Not a listed hazardous waste.",Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Avoid contact with skin and eyes, do not swallow, wear protective equipment for spill or leak procedures, prevent product from freezing, store in cool dry area, keep out of reach of children, ensure all containers are labeled properly, follow label cautions even after the container is empty, use adequate ventilation to keep airborne concentrations low, use safety goggles or glass with side shields.","Handling Precautions, Storage Precautions, Accidental Release Measures, General, Exposure Controls/Personal Protection"
What are the exposure controls and personal protection measures recommended for the product?,Engineering Controls: Use adequate ventilation to keep airborne concentrations low. Personal Protection: Eyes - Safety goggles or glass with side shields.,"8. Exposure Controls/Personal Protection, EYES"
What are the physical and chemical properties of the product?,"pH: 7, Melting Point/Freezing Point: 32º F (0º C), Initial Boiling Point and Range: 212º F (100º C), Flash Point: None Method: Not available., Evaporation Rate: Not established., Flammable Limits: Not applicable., Conditions of Flammability: Non-flammable., Explosive Properties: Not established., Vapor Pressure: Not available., Vapor Density: Not established., Relative Density (H2O =1): 1.079, Solubility in Water: Soluble, VOC (g/L): 0.",Section 9. Physical/Chemical and Section 3. Hazards Identification
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but it reacts with sodium hypochlorite or calcium hypochlorite. It may cause pressure to build up inside the drum if excessive heat or flame is present.","10. Stability and Reactivity Data, 6. Accidental Release Measures"
What are the possible hazardous decomposition products of the product?,Information not available in the provided context,N/A
What is the toxicological information available for the product?,"The product has Acute toxicity, Oral, Dermal, Inhalation Category 5. Eye Irritation, Category 2B. No LC50 established. No carcinogenicity or reproduction toxicity data available. No teratogenicity or mutagenicity data available.","Hazards Identification, Ecological Data"
What are the safety precautions and handling instructions for using the product?,"Use BioRem-2000 Surface Cleaner in a well-ventilated area. Avoid contact with skin and eyes. Do not swallow. Wear protective equipment if material is unused, collect and recover for reuse after spill or leak. Store in a cool, dry area, preventing product from freezing. Keep out of reach of children.","7. Handling and Storage, 6. Accidental Release Measures"
What are the potential hazards associated with the product?,"Acute toxicity, Oral, Dermal, Inhalation Category 5, Eye Irritation, Category 2B",Hazards Identification
What are the specific health effects or risks associated with exposure to the product?,"The product can cause acute toxicity, oral, dermal, and inhalation Category 5; eye irritation, Category 2B. It may be harmful if swallowed, in contact with skin or if inhaled.","8. Exposure Controls/Personal Protection, Classification: Acute toxicity, Oral, Dermal, Inhalation Category 5, Eye Irritation, Category 2B"
What are the emergency procedures in case of inhalation of the product?,"Not normally required. Move to fresh air. If symptoms persist, get medical attention.","8. Exposure Controls/Personal Protection, Inhalation"
What are the emergency procedures in case of skin contact with the product?,"Wash with soap and water. If irritation persists, contact a physician.","First Aid Measures, Skin Contact:"
What are the emergency procedures in case of eye contact with the product?,"Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue Rinsing.",4. First Aid Measures
What are the emergency procedures in case of ingestion of the product?,IF SWALLOWED: Rinse mouth. Do NOT induce vomiting.,"4. First Aid Measures, IF SWALLOWED"
What is the waste disposal method for the product?,"Observe all federal, state, and local regulations.",13. Disposal Considerations
Are there any specific storage requirements or conditions for safely storing the product?,"Yes, store in a cool, dry area, prevent product from freezing. Store out of reach of children. Ensure shelf life by keeping it away from direct sunlight and/or excessive heat.","Storage Precautions, Shelf life"
What is the shelf life of the product?,"3 years as long as the product is kept in a clean, dry environment away from direct sunlight and/or excessive heat.",Storage Precautions
What are the composition and ingredients of the product?,"Aqua (70-90%), Microbes (1-5%), Enzymes (1-5%), Cleaning Aid (10-20%), Nutrients (1-5%)","Composition/Information on Ingredients, 3."
Are there any known hazardous reactions or incompatibilities with other substances or materials?,Reacts with sodium hypochlorite or calcium hypochlorite. Incompatible Materials: Strong oxidants.,"10. Stability and Reactivity Data, Incompatible Materials"
What is the odor of the product?,Information not available in the provided context,N/A
