Question,Answer,Source
What is the product identifier?,ANTIFREEZE,Section XVI. Other Information
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
What is the product description?,"A clear viscous liquid with a green colour, odourless.",Section IX. Physical and Chemical Properties
Who is the manufacturer of the product?,The manufacturer information is not explicitly stated in the provided context.,N/A
What is the emergency telephone number for the product?,"Petro-Canada: 403-296-3000, Canutec Transportation: 613-996-6666",Section I. Chemical Product and Company Identification
What are the hazard classifications associated with the product?,Reactivity classification: Moderate; Health Hazard classification: Slight; Fire Hazard classification: Insignificant. Special Provisions for Transport Not applicable.,"Section I. Chemical Product and Company Identification, Section II. Composition and Information on Ingredients, Section III. Hazards Identification, and Section X. Stability and Reactivity"
What is the signal word used for the product?,Information not available in the provided context,N/A
What are the hazard statements related to the product?,"The product is stable. Will not occur under normal working conditions. May release COx, smoke and irritating vapours when heated to decomposition. Reactive with oxidizing agents, acids and alkalis.","Section X. Stability and Reactivity, Section III. Hazards Identification"
What precautions should be taken while handling the product?,"Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Wear appropriate chemically protective gloves when handling hot product ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. If concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area), NIOSH approved respirators may be necessary to prevent overexposure by inhalation.",Section VII. Handling and Storage
What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
What are the suitable extinguishing media for a fire involving the product?,"Use DRY chemicals, CO2, water spray, or foam for SMALL FIRE. Use water spray, fog, or foam for LARGE FIRE; DO NOT use water jet.",Section V. Fire-fighting Measures
What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section V. Fire-fighting Measures
Are there any special fire handling procedures required for the product?,"For SMALL FIRE, use DRY chemicals, CO2, water spray or foam. For LARGE FIRE, use water spray, fog or foam. DO NOT use water jet.",Section V. Fire-fighting Measures
"How should accidental releases, spill, or leak of the product be handled?","For accidental releases, spill, or leak of the product, follow these steps: Small spill or leak - Dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. Large spill or leak - Absorb with an inert material and put the spilled material in an appropriate waste disposal. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Keep container dry, keep container tightly closed, keep in a cool, well-ventilated place. Avoid contamination with reactive substances. After handling, always wash hands thoroughly with soap and water. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Use ventilation if user's operations generate vapours or mist. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate clothing to prevent skin contact (minimum long sleeves and trousers). Consider eye protection based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the exposure controls and personal protection measures recommended for the product?,"When handling the product, ensure special ventilation is not necessary for normal application. However, if user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Additionally, when handling hot product ensure gloves are heat resistant and insulated. For areas where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area), and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.",Section VIII. Exposure Controls/Personal Protection
What are the physical and chemical properties of the product?,"The product is a clear viscous liquid with a green colour, odourless. It has a volatility of 0% (w/w), density between 1.115 to 1.145 (Water = 1), and vapour density of 2.1 (Air=1). The vapour pressure is 0.06 mmHg @ 20°C (68ºF). It is soluble in water, methanol, and diethyl ether. It has a boiling point between 129 to 197°C (264 to 387°F) and may release COx, smoke, and irritating vapours when heated to decomposition.",Section IX. Physical and Chemical Properties
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but reactive with oxidizing agents, acids, and alkalis. Hazardous reactions include decomposition that may release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
What are the possible hazardous decomposition products of the product?,"COx, smoke, and irritating vapours",Section X. Stability and Reactivity
What is the toxicological information available for the product?,"The product is slightly hazardous in case of eye contact (irritant), extremely dangerous in case of ingestion, slightly hazardous in case of inhalation (lung irritant) which can cause nausea, headaches, and vomiting, and slightly hazardous in case of skin contact (irritant). Repeated or prolonged exposure to the substance may produce target organ damage. The substance may be toxic to kidneys and liver. It is also fetotoxic and teratogenic in mice at levels below maternal toxicity.",Section XI. Toxicological Information
What are the safety precautions and handling instructions for using the product?,"When handling this product, ensure to keep container dry and tightly closed. Store it in a cool, well-ventilated place, avoiding contamination with reactive substances. Wear appropriate footwear to prevent contact with feet and skin. After handling, wash hands thoroughly with soap and water. For normal application, special ventilation is not necessary, but if vapours or mist are generated during use, ensure good ventilation. Consider using eyewash stations and safety showers nearby. When working, wear long sleeves and trousers for minimum protection against skin contact, and use eye protection (safety glasses/goggles/face shield) when splashing may occur. If conditions of use involve inhalation risks, respirators might be necessary. For handling spills, dilute small leaks with water and mop up or absorb using an inert DRY material before disposing in a waste container. Large spills require absorption with an inert material and then proper disposal according to regional regulations.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection, Section VI. Accidental Release Measures"
