Question,Answer,Source
What is the product identifier?,CAS# 7722-84-1,Exposure Limits
When was the Safety Data Sheet issued?,"October 14, 2009 (effective date of Transportation of Dangerous Goods Regulations SOR/2001-286) and October 2003 (effective date of US Code of Federal Regulations Title 49 - Transportation)","SECTION 8 – Exposure Control/Personal Protection, SECTION 15 – Regulatory Information"
What is the product description?,"HYDROGEN PEROXIDE, AQUEOUS SOLUTION",SECTION 14 – Transport Information
Who is the manufacturer of the product?,Seastar Chemicals Inc,SECTION 16 – Other Information
What is the emergency telephone number for the product?,613-996-6666,CANUTEC (CAN)
What are the hazard classifications associated with the product?,"Oxidizer, Corrosive, Acute, flammable","SECTION 5 – Fire-Fighting Measures, SECTION 8 – Exposure Control/Personal Protection"
What is the signal word used for the product?,Danger,Section 2 – Hazard Identification
What are the hazard statements related to the product?,H318: Causes serious eye damage. H302: Harmful if swallowed. H332: Harmful if inhaled.,EU Hazard Statements
What precautions should be taken while handling the product?,"Use corrosion-resistant transfer equipment, add to cold water slowly in small amounts and stir frequently. Wear chemical safety goggles suitable for splash protection and/or a face shield. Never transfer by pressurizing the original shipping container with air or inert gas. Do not use incompatible materials such as organic compounds (e.g., alcohols, ethers). Keep containers closed when not in use. Always assume that empty containers contain hazardous residues. Store below 35 °C in a cool, well-ventilated area, out of direct sunlight, away from heat and ignition sources and combustible materials.","Section 8 - Exposure Control/Personal Protection, Section 10 - Storage"
What are the first aid measures in case of inhalation?,"If symptoms are experienced, remove source of contamination or move victim to fresh air. If symptoms persist, call a POISON CENTER or doctor/physician.",First Aid Measures
What are the first aid measures in case of skin contact?,"Remove contaminated clothing, shoes, and leather goods. Immediately flush with lukewarm, gently flowing water for 15-20 minutes. Obtain medical advice. Completely decontaminate clothing, shoes, and leather goods before re-use or discard. Keep contaminated clothing under water in a closed container until it can be safely discarded.",SECTION 4 – First Aid Measures
What are the first aid measures in case of eye contact?,"Immediately flush the contaminated eye(s) with lukewarm, gently flowing water for at least 30 minutes, while holding the eyelid(s) open. If a contact lens is present and easy to do, remove it and continue rinsing with water.","Section: First Aid Measures, specifically the P305 + P351 + P338 subsection"
What are the first aid measures in case of ingestion?,"NEVER give anything by mouth if victim is rapidly losing consciousness, is unconscious or convulsing. Have victim rinse mouth thoroughly with water. DO NOT INDUCE VOMITING. If vomiting occurs naturally, have victim rinse mouth with water again. Immediately obtain medical attention.",Ingestion
What are the suitable extinguishing media for a fire involving the product?,Use extinguishing media suitable for the surrounding fire. Use large quantities of water as fog to fight fires in which this material is involved.,Extinguishing Media
What are the special hazards arising from the substance during a fire?,"The special hazards arising from the substance during a fire include intensifying the burning of combustible materials, igniting or exploding upon contact with hydrogen peroxide, closed containers may rupture violently due to rapid decomposition, large amounts of oxygen gas may be released to form an oxygen-rich atmosphere. Additionally, combustion and thermal decomposition products decompose to molecular oxygen which can accelerate the burning of flammable materials or cause spontaneous combustion.","SECTION 1 – Identification, SECTION 6 – Accidental Release Measures"
Are there any special fire handling procedures required for the product?,"Use carbon dioxide-free extinguishing agents that smother flames, as some chemical extinguishing agents may accelerate decomposition. Carbon dioxide or other extinguishing agents are not effective on oxidizers.",Section 6 – Accidental Release Measures
"How should accidental releases, spill, or leak of the product be handled?","Do not touch spilled material. Stop or reduce leak if safe to do so. Prevent material from entering sewers, waterways or confined spaces. Keep materials that can burn away from spilled material. SMALL SPILLS: Flush area with water. LARGE SPILLS: Dike with earth, sand or inert absorbent material to contain spill. Remove liquid with compatible pumps or vacuum equipment. Place in suitable, covered, labelled, vented containers. Flush area with excess water.","SECTION 4 – First Aid Measures, SECTION 7 – Handling and Storage"
What precautions should be taken for safe handling and storage of the product?,"Use corrosion-resistant transfer equipment when dispensing. Add to cold water slowly, in small amounts and stir frequently to avoid excessive heat. Store below 35 °C. Store in a cool, well-ventilated area, out of direct sunlight, away from heat and ignition sources and away from combustible materials. Keep quantities stored as small as possible. Storage facilities should be made of fire-resistant materials. Stainless steel (#316) is one material recommended for storage vessels and piping. Contain spills or leaks by storing in trays made from compatible materials. Keep absorbents for leaks readily available. Store in an isolated, fireproof building, if possible.","MSDS – HYDROGEN PEROXIDE SOLUTION, SECTION 1 - IDENTIFICATION, Storage, and SECTION 4 - FIRST AID MEASURES"
What are the exposure controls and personal protection measures recommended for the product?,"Engineering methods to control hazardous conditions are preferred. This includes mechanical ventilation (dilution and local exhaust), process or personnel enclosure, control of process conditions, and process modification. For large-scale operations, stringent control measures like enclosure or isolation should be considered. A totally enclosed system with an associated purging system is recommended for unloading bulk hydrogen peroxide and sampling process liquids. Double mechanical seals for process pumps are suggested to prevent equipment failure. Supply sufficient replacement air to make up for air removed by exhaust systems. Use non-combustible materials in the construction of ventilation or control systems. Personal protective equipment includes chemical safety goggles, a face shield, impervious gloves, and appropriate protective clothing. A full-face particle respirator type N100 (US) or P3 (EN 143), or a full-face supplied air respirator is recommended for inhalation protection.",SECTION 8 – Exposure Control/Personal Protection
