Question,Answer,Source
What is the product identifier?,7722-84-1,Exposure Limits
When was the Safety Data Sheet issued?,"This information was effective October 14, 2009.",SECTION 8 – Exposure Control/Personal Protection
What is the product description?,"HYDROGEN PEROXIDE SOLUTION, AQUEOUS SOLUTION with not less than 20 percent but not more than 60 per cent hydrogen peroxide (stabilized as necessary)",SECTION 14 – Transport Information
Who is the manufacturer of the product?,Seastar Chemicals Inc,SECTION 16 – Other Information
What is the emergency telephone number for the product?,CANUTEC (CAN) phone number: (613)-996-6666,SECTION 2 – Composition/Information on Ingredients
What are the hazard classifications associated with the product?,"OSHA Hazard Communication Evaluation: Meets criteria for hazardous material, as defined by 29 CFR 1910.1200; EU Classification: Serious eye damage – Category 1; Acute toxicity, Oral – Category 4; Acute toxicity, Inhalation – Category 4","SECTION 15 - Regulatory Information, EUROPEAN UNION (EU) CLASSIFICATION AND LABELLING INFORMATION"
What is the signal word used for the product?,Danger,Section 2 - Hazard(s) Identification
What are the hazard statements related to the product?,EU Hazard Statements: H318: Causes serious eye damage. H302: Harmful if swallowed. H332: Harmful if inhaled.,EU Classification
What precautions should be taken while handling the product?,"When handling the product, it is recommended to use corrosion-resistant transfer equipment, add to cold water slowly in small amounts and stir frequently to avoid excessive heat. Chemical safety goggles suitable for splash protection and/or a face shield should be used as eye/face protection. Always assume that empty containers contain hazardous residues. Never reuse empty containers, even if they appear to be clean. Have suitable emergency equipment for fires, spills, and leaks readily available. Practice good housekeeping.","SECTION 8 – Exposure Control/Personal Protection, SECTION 10 – Stability and Reactivity"
What are the first aid measures in case of inhalation?,"If symptoms are experienced, remove source of contamination or move victim to fresh air. If symptoms persist, keep at rest in a position comfortable for breathing. Call a POISON CENTER or doctor/physician.",P304 + P340
What are the first aid measures in case of skin contact?,"Remove contaminated clothing, shoes and leather goods. Immediately flush with lukewarm, gently flowing water for 15-20 minutes. Obtain medical advice. Completely decontaminate clothing, shoes and leather goods before re-use or discard.","SECTION 4 – First Aid Measures, Skin"
What are the first aid measures in case of eye contact?,"Immediately flush the contaminated eye(s) with lukewarm, gently flowing water for at least 30 minutes, while holding the eyelid(s) open. If a contact lens is present and easy to remove, do so before continuing to rinse. Remove the contact lens and continue rinsing.",First Aid Measures
What are the first aid measures in case of ingestion?,"NEVER give anything by mouth if victim is rapidly losing consciousness, is unconscious or convulsing. Have victim rinse mouth thoroughly with water. DO NOT INDUCE VOMITING. If vomiting occurs naturally, have victim rinse mouth with water again. Immediately obtain medical attention.",Ingestion
What are the suitable extinguishing media for a fire involving the product?,"large quantities of water as fog, extinguishing media suitable for the surrounding fire",Extinguishing Media
What are the special hazards arising from the substance during a fire?,"Large quantities of water as fog, Closed containers may rupture violently due to rapid decomposition. Organic compounds (e.g. carboxylic acids and anhydrides, nitrogen-containing bases, aldehydes, ketones, ethers, alcohols, charcoal, organic dust) - spontaneous combustion, violent decomposition and/or explosion may occur. Metals (powdered or metal surfaces), Metal Oxides, Metal Sulfides Metal Salts, or Iodates - may cause violent decomposition. Reducing Agents (e.g. metal hydrides) - may react violently. Potassium Permanganate - can explode when in contact with very concentrated hydrogen peroxide.",SECTION 5 – Fire-Fighting Measures
Are there any special fire handling procedures required for the product?,Carbon dioxide is not effective; use water spray. Other extinguishing agents may accelerate decomposition.,SECTION 6 – Accidental Release Measures
"How should accidental releases, spill, or leak of the product be handled?","Do not touch spilled material. Stop or reduce leak if safe to do so. Prevent material from entering sewers, waterways or confined spaces. Keep materials that can burn away from spilled material. SMALL SPILLS: Flush area with water. LARGE SPILLS: Dike with earth, sand or inert absorbent material to contain spill. Remove liquid with compatible pumps or vacuum equipment. Place in suitable, covered, labelled, vented containers. Flush area with excess water.","SECTION 4 – First Aid Measures, SECTION 7 – Handling and Storage"
What precautions should be taken for safe handling and storage of the product?,"Use corrosion-resistant transfer equipment, add to cold water slowly in small amounts and stir frequently to avoid excessive heat. Store below 35 °C, in a cool, well-ventilated area, out of direct sunlight, away from heat and ignition sources and combustible materials. Keep quantities stored as small as possible. Store in trays made from compatible materials in case of spills or leaks. Have suitable emergency equipment for fires, spills, and leaks readily available. Practice good housekeeping.","Section 1: Identification, Section 3: Handling, Section 4: Storage"
What are the exposure controls and personal protection measures recommended for the product?,"Engineering controls such as mechanical ventilation, process enclosure, control of process conditions, and backup controls like double mechanical seals for process pumps should be considered. Additionally, supply sufficient replacement air to make up for air removed by exhaust systems, and do not use organic or combustible materials in the construction of ventilation or control systems. Personal protective equipment includes chemical safety goggles, face shield, impervious gloves, and appropriate protective clothing. For hydrogen peroxide 30-70%, recommended materials for protective clothing include rubber (butyl, natural, or nitrile), polyethylene, Viton, Tychem CPF 3, BR/LV, Responder, or TK. Recommended personal hygiene practices include removing contaminated clothing promptly, drying contaminated material on clothing may cause fire, and informing laundry personnel of contaminant's hazards.","SECTION 8 – Exposure Control/Personal Protection, Personal Protective Equipment"
What are the physical and chemical properties of the product?,"The product appears as a clear, colourless liquid with a slightly sharp and irritating odour. It is a moderate oxidizer that can cause fire or explosion when in contact with combustible materials. It is also corrosive to the eyes, blood, central nervous system, skin, steel, iron, nickel, copper, and its alloys.",SECTION 3 – Hazards Identification
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is reactive, can decompose vigorously or explosively, and may cause violent decomposition with certain materials. It is recommended to use stringent control measures such as enclosure or isolation for large scale operations due to its high potential hazard.","Conditions to Avoid, Incompatibilities with Other Materials, SECTION 8 – Exposure Control/Personal Protection"
What are the possible hazardous decomposition products of the product?,"Decomposes to molecular oxygen, which can accelerate the burning of flammable materials or cause spontaneous combustion",SECTION 1 – Identification
What is the toxicological information available for the product?,"The product meets criteria for 'Toxic material' in Class D - Poisonous and Infectious Material. Division 2. Liver damage observed in mice administered approximately 230 mg/kg/day of hydrogen peroxide in their drinking water for 16 weeks. Carcinogenicity does not meet criteria, as it is classified as IARC Group 3 and ACGIH A3. The substance has no conclusions drawn based on the limited animal information available regarding teratogenicity and embryotoxicity. It also does not meet criteria for mutagenicity or respiratory tract sensitization. The substance causes corrosive effects in animals when in solutions of 20-32% hydrogen peroxide.","SECTION 3 – Hazards Identification, SECTION 2 – Composition/Information on Ingredients, SECTION 4 – First Aid Measures"
What are the safety precautions and handling instructions for using the product?,"When handling this product, store spills or leaks by containing them in trays made from compatible materials. Keep absorbents for leaks readily available. Wear chemical safety goggles suitable for splash protection and/or a face shield as described by OSHA's eye and face protection guidelines. Use corrosion-resistant transfer equipment when dispensing. Add to cold water slowly, in small amounts, and stir frequently to avoid excessive heat. Never transfer by pressurizing the original shipping container with air or inert gas. Do not return unused or contaminated material to the original container. Do not use with incompatible materials such as organic compounds (e.g., alcohols, ethers). Keep containers closed when not in use. Always assume that empty containers contain hazardous residues. Never reuse empty containers, even if they appear clean.","Context: Contain spills or leaks by storing in trays made from compatible materials..., SECTION 8 – Exposure Control/Personal Protection"
What are the potential hazards associated with the product?,"Decomposes to molecular oxygen, which can accelerate the burning of flammable materials or cause spontaneous combustion. May react violently with reducing agents. Can explode when in contact with very concentrated hydrogen peroxide. Organic compounds, metals, metal oxides, and other specific substances may also be hazardous to handle with this product.","Combustion and Thermal Decomposition Products, Hazardous Polymerization, SECTION 11 – Toxicological Information"
What are the specific health effects or risks associated with exposure to the product?,"Prolonged or repeated exposure may cause eye and throat irritation, corneal damage, dermatitis, and gradual bleaching of hair. Ingestion is not a typical route of occupational exposure. High potential hazard associated with this substance may cause corrosive injury and death. It can irritate the gastrointestinal tract and react in the stomach releasing large amounts of oxygen.","Effects of Chronic Exposure, SECTION 4 – First Aid Measures, SECTION 8 – Exposure Control/Personal Protection"
What are the emergency procedures in case of inhalation of the product?,"IF INHALED: Remove victim to fresh air and keep at rest in a position comfortable for breathing. Do not induce vomiting. If medical attention is needed, call a POISON CENTER or doctor/physician.","Ingestion (since the procedure for inhalation is similar), Notes to Physician"
What are the emergency procedures in case of skin contact with the product?,"Remove contaminated clothing, shoes, and leather goods. Immediately flush with lukewarm, gently flowing water for 15-20 minutes. Obtain medical advice. Completely decontaminate clothing, shoes, and leather goods before re-use or discard. Keep contaminated clothing under water in a closed container until it can be safely discarded.",SECTION 4 – First Aid Measures
What are the emergency procedures in case of eye contact with the product?,"Immediately flush the contaminated eye(s) with lukewarm, gently flowing water for at least 30 minutes, while holding the eyelid(s) open. If a contact lens is present, DO NOT delay irrigation or attempt to remove the lens until flushing is done. Neutral saline solution may be used as soon as it is available. DO NOT INTERRUPT FLUSHING. If necessary, continue flushing during transport to emergency care facility. Quickly transport victim to an emergency care facility.",SECTION 4 – First Aid Measures
What are the emergency procedures in case of ingestion of the product?,"NEVER give anything by mouth if victim is rapidly losing consciousness, is unconscious or convulsing. Have victim rinse mouth thoroughly with water. DO NOT INDUCE VOMITING. If vomiting occurs naturally, have victim rinse mouth with water again. Immediately obtain medical attention.",SECTION 4 – First Aid Measures
What is the waste disposal method for the product?,"Dispose of contents/container according to federal, regional and local government requirements.","SECTION 5 – Fire Fighting Measures, P501"
Are there any specific storage requirements or conditions for safely storing the product?,"Store in a clearly identified area, clear of obstruction and accessible only to trained and authorized personnel. Inspect periodically for damage or leaks. Storage facilities should be made of fire-resistant materials, such as stainless steel (#316). Store away from incompatible materials, such as organic compounds. See Section 10 for more information. Store in suitable, labelled containers (usually the shipping container) equipped with an adequately sized vent or other relief device to prevent overpressurization due to decomposition or fire exposure. Protect from damage. Have appropriate fire extinguishers and spill clean-up equipment in storage area. Contain spills or leaks by storing in trays made from compatible materials. Keep absorbents for leaks readily available.","Context, SECTION 8 – Exposure Control/Personal Protection, SECTION 10 – Stability and Reactivity"
What is the shelf life of the product?,Information not available in the provided context,N/A
What are the composition and ingredients of the product?,Information not available in the provided context,N/A
Are there any known hazardous reactions or incompatibilities with other substances or materials?,"Yes, there are known hazardous reactions or incompatibilities with other substances or materials. These include explosive reactions with strong bases (e.g., potassium hydroxide or sodium hydroxide), nitric acid (more than 50%), sulfuric acid (mixtures with 35% and above hydrogen peroxide can explode violently), organic compounds, metals (powdered or metal surfaces), metal oxides, metal sulfides, metal salts, iodates, reducing agents (e.g., metal hydrides), potassium permanganate. Additionally, hydrogen peroxide solutions may cause violent decomposition when in contact with these substances.","SECTION 10 – Reactivity and Incompatibility, SECTION 11 – Toxicological Information"
What is the odor of the product?,Information not available in the provided context,N/A
What is the boiling point of the product?,"The boiling point of the product is 103.6 °C (218.5 °F) for 20% (w/w), 106.2 °C (223.2 °F) for 30% (w/w), and 108 °C (226 °F) for 35% (w/w)",SECTION 9 – Physical and Chemical Properties
Is the product flammable?,No,"SECTION 3 – Hazards Identification, SECTION 6 – Accidental Release Measures"
What is the solubility of the product?,Information not available in the provided context,N/A
"Is the product stable under certain conditions, and are there any potential decomposition products?","The product can decompose in sunlight and is less stable at pH levels above 4.5. Potential decomposition products include oxygen, water, and heat. The product may also release unstable peroxides when reacting with certain organic compounds. When storing the product, it's essential to prevent overheating, contamination, and exposure to strong bases or acids that can cause violent reactions.","Conditions to Avoid (Section 2), Incompatibilities with Other Materials (Section 3), Storage (Section 7)"
"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","Engineering controls include mechanical ventilation, local exhaust, process or personnel enclosure, control of process conditions, process modification, and consideration for large-scale operations with stringent control measures such as enclosure or isolation. For unloading bulk hydrogen peroxide and sampling process liquids, a totally enclosed system with an associated purging system should be considered. Additionally, backup controls like double mechanical seals for process pumps are recommended to prevent equipment failure. When using organic or combustible materials in the construction of ventilation or control systems is not recommended. In terms of personal protective equipment, gloves, clothing, eye protection, and face protection are required (P280). For specific situations, the following PPE is recommended: IF swallowed (P301 + P312), if inhaled (P304 + P340), and if in eyes (P305 + P351 + P338). Respiratory protection includes immediately calling a POISON CENTER or doctor/physician (P310) and rinsing mouth (P330).","Exposure Limits, Safety Precautions, Hazard Statements"
Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,"Dispose of in a manner consistent with federal, provincial/state/territorial, and local regulations. Chemical waste generators must determine whether a discarded chemical is classified as a hazardous waste. US EPA guidelines for the classification determination are listed in 40 CFR Parts 261.3. Additionally, waste generators must consult state and local hazardous waste regulations to ensure complete and accurate classification.",SECTION 13 – Disposal Considerations
Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, specific chemical identity or exact percentage of the composition cannot be disclosed as per regulations in various countries such as ARGENTINA, BULGARIA, COLOMBIA, JORDAN.",Exposure Limits
