Question,Answer,Source
What is the product identifier?,ANTIFREEZE,"Section XVI. Other Information, Section I. Identification"
When was the Safety Data Sheet issued?,Prepared by Product Safety - TAR on 7/3/2001.,Section I. Identification
What is the product description?,ANTIFREEZE,"Section V. Fire-fighting Measures, Section I. Identification"
Who is the manufacturer of the product?,Product Safety - TAR,Prepared by Product Safety - TAR on 7/3/2001.
What is the emergency telephone number for the product?,"In case of Emergency, contact Petro-Canada at 403-296-3000. For transportation emergencies, contact Canutec Transportation at 613-996-6666.",Section I. Chemical Product and Company Identification
What are the hazard classifications associated with the product?,"Reactivity: Corrosivity - Not available; Stability: The product is stable. Incompatible with oxidizing agents, acids, and alkalis. May release COx, smoke, and irritating vapours when heated to decomposition. Hazardous Polymerization - Will not occur under normal working conditions.",Section X. Stability and Reactivity
What is the signal word used for the product?,Not available,N/A
What are the hazard statements related to the product?,"The product is stable. The product is reactive with oxidizing agents, acids, and alkalis. May release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
What precautions should be taken while handling the product?,"Wear appropriate chemically protective gloves, and when handling hot product ensure gloves are heat resistant and insulated. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection"
What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well-ventilated area. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,"Section IV. First Aid Measures, Skin Contact"
What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,Section IV. First Aid Measures
What are the suitable extinguishing media for a fire involving the product?,"Use DRY chemicals, CO2, water spray or foam for small fires. Use water spray, fog or foam for large fires, but DO NOT use water jet.",Section V. Fire-fighting Measures
What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section V. Fire-fighting Measures
Are there any special fire handling procedures required for the product?,"Yes, there are special fire handling procedures required for the product. For SMALL FIRE: use DRY chemicals, CO2, water spray or foam. For LARGE FIRE: use water spray, fog or foam. DO NOT use water jet.",Section V. Fire-fighting Measures
"How should accidental releases, spill, or leak of the product be handled?","For small spills or leaks, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills or leaks, absorb with an inert material and put the spilled material in an appropriate waste disposal, then dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
What precautions should be taken for safe handling and storage of the product?,"Keep container dry. Keep container tightly closed. Keep in a cool, well-ventilated place. Avoid contamination with reactive substances. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn.","Storage (Section IV), Handling (Section VII)"
