Source(T/F),Answer(T/F),Question,Answer,Source
F,F,What is the product identifier?,The product identifier is not explicitly stated in the provided context.,N/A
F,F,When was the Safety Data Sheet issued?,Information not available in the provided context,N/A
T,T,What is the product description?,"Clear viscous liquid, Green in colour, Odourless.",Section IX. Physical and Chemical Properties
F,F,Who is the manufacturer of the product?,"The manufacturer's contact information is available, but the actual company name is not explicitly stated in the SDS.","Section IX. Physical and Chemical Properties, Section X. Stability and Reactivity"
T,T,What is the emergency telephone number for the product?,"403-296-3000 (Petro-Canada) for emergency assistance, and consult local telephone directory for Poison Control Centre number",Section I. Chemical Product and Company Identification
T,T,What are the hazard classifications associated with the product?,"Health Hazard, Fire Hazard, Reactivity","Section III. Hazards Identification., Section X. Stability and Reactivity"
T,T,What is the signal word used for the product?,Not evaluated.,ADR (Europe)
T,T,What are the hazard statements related to the product?,"The product is stable, but reactive with oxidizing agents, acids, and alkalis. It may release COx, smoke, and irritating vapours when heated to decomposition. Contact can cause slight irritation of skin, eyes, and respiratory tract. Extremely dangerous in case of ingestion.","Section X. Stability and Reactivity, Section III. Hazards Identification"
T,T,What precautions should be taken while handling the product?,"Wear appropriate chemically protective gloves, ensure gloves are heat resistant and insulated when handling hot product; wear appropriate footwear to prevent product from coming in contact with feet and skin.",Section VIII. Exposure Controls/Personal Protection
T,T,What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well-ventilated area. In case of inhalation, means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation.",Section IV. First Aid Measures
T,T,What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap.  Seek medical attention.,Section IV. First Aid Measures
T,T,What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open.  Seek medical attention.",Section IV. First Aid Measures
T,T,What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section IV. First Aid Measures, Ingestion"
T,T,What are the suitable extinguishing media for a fire involving the product?,"For SMALL FIRE: Use DRY chemicals, CO2, water spray or foam. For LARGE FIRE: Use water spray, fog or foam. DO NOT use water jet.",Section V. Fire-fighting Measures
T,T,What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion. Combustible in presence of open flames and sparks.","Section III. Hazards Identification., Section V. Fire Fighting Measures"
T,T,Are there any special fire handling procedures required for the product?,"Yes, there are special fire handling procedures required for the product. For SMALL FIRE, use DRY chemicals, CO2, water spray or foam. For LARGE FIRE, use water spray, fog or foam. DO NOT use water jet.",Section V. Fire-fighting Measures
T,T,"How should accidental releases, spill, or leak of the product be handled?","For small spills or leaks, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For large spills or leaks, absorb with an inert material and put the spilled material in an appropriate waste disposal, then dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures
T,T,What precautions should be taken for safe handling and storage of the product?,"Keep container dry, tightly closed. Store in a cool, well-ventilated place. Avoid contamination with reactive substances. Wear appropriate chemically protective gloves when handling hot product, heat-resistant and insulated gloves are recommended. Wear suitable footwear to prevent the product from coming into contact with feet and skin. After handling, wash hands thoroughly with soap and water.","Section VII. Handling and Storage, Section VI. Accidental Release Measures"
T,T,What are the exposure controls and personal protection measures recommended for the product?,"Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation.",Section VIII. Exposure Controls/Personal Protection
T,T,What are the physical and chemical properties of the product?,"The product is a clear viscous liquid with an odourless green colour. It has a volatility of 0% (w/w), a vapour pressure of 0.06 mmHg @ 20°C (68°F), and is soluble in water, methanol, and diethyl ether. The density ranges from 1.115 to 1.145 (Water = 1) and the vapour density is 2.1 (Air=1). It is a polymerisation inhibitor that will not occur under normal working conditions.","Section IX. Physical and Chemical Properties, Section X. Stability and Reactivity"
T,T,Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but it may react with oxidizing agents, acids, and alkalis. It may also release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity
T,T,What are the possible hazardous decomposition products of the product?,"May release COx, smoke and irritating vapours when heated to decomposition.","Section X. Stability and Reactivity, Hazardous Polymerization"
T,T,What is the toxicological information available for the product?,"The substance may be toxic to kidneys and liver, can cause nausea, headaches and vomiting in case of inhalation, is slightly hazardous in case of eye contact (irritant), extremely dangerous in case of ingestion, slightly hazardous in case of skin contact (irritant). Repeated or prolonged exposure can produce target organs damage. ACGIH A4: not classifiable as a human carcinogen.",Section X. Other Information/Precautions
T,T,What are the safety precautions and handling instructions for using the product?,"For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered.","Section VIII. Exposure Controls/Personal Protection, Section VII. Handling and Storage"
T,T,What are the potential hazards associated with the product?,"Contact can cause slight irritation of skin, eyes and respiratory tract. Extremely dangerous in case of ingestion. Combustible in presence of open flames and sparks. Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.","Section III. Hazards Identification., Section II. Composition and Information on Ingredients."
T,T,What are the specific health effects or risks associated with exposure to the product?,"Slight irritation of skin, eyes, and respiratory tract. Extremely dangerous in case of ingestion. Target organs damage such as kidneys and liver may occur with repeated exposure.","Section III. Hazards Identification., Section VII. Handling and Storage, Other Considerations"
T,T,What are the emergency procedures in case of inhalation of the product?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well-ventilated area. Seek medical attention.",Section IV. First Aid Measures
T,T,What are the emergency procedures in case of skin contact with the product?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures
T,T,What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures
T,T,What are the emergency procedures in case of ingestion of the product?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,"Section III. Hazards Identification, Section IV. First Aid Measures"
T,T,What is the waste disposal method for the product?,Dispose of in accordance with regional regulations. Preferred waste management priorities are: (1) recycle or reprocess; (2) incineration with energy recovery; (3) disposal at licensed waste disposal facility.,"Section VI. Accidental Release Measures, Section XIII. Disposal Considerations"
T,T,Are there any specific storage requirements or conditions for safely storing the product?,"Keep container dry, keep container tightly closed, and keep in a cool, well-ventilated place. Avoid contamination with reactive substances.",Section VII. Handling and Storage
T,T,What is the shelf life of the product?,Information not available in the provided context,N/A
F,F,What are the composition and ingredients of the product?,Information not available in the provided context,N/A
T,T,Are there any known hazardous reactions or incompatibilities with other substances or materials?,"Yes, there are known hazardous reactions. The product is reactive with oxidizing agents, acids, and alkalis. It may release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity; Section VI. Accidental Release Measures
T,T,What is the odor of the product?,Odourless,Section IX. Physical and Chemical Properties
T,T,What is the boiling point of the product?,129 to 197°C (264 to 387°F),Section IX. Physical and Chemical Properties
T,T,Is the product flammable?,"Yes, the product may be combustible at high temperature.",Section IX. Physical and Chemical Properties
T,T,What is the solubility of the product?,"Soluble in water, methanol and diethyl ether.",Section IX. Physical and Chemical Properties
T,T,"Is the product stable under certain conditions, and are there any potential decomposition products?","Yes, the product is stable. Decomposition products include COx, smoke, and irritating vapours. Additionally, there are potential decomposition products when heated to decomposition.","Section IX. Physical and Chemical Properties, Section X. Stability and Reactivity"
T,T,"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn.","Section VIII. Exposure Controls/Personal Protection, Section VII. Handling and Storage"
T,T,Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,Preferred waste management priorities are: (1) recycle or reprocess; (2) incineration with energy recovery; (3) disposal at licensed waste disposal facility. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations.,"Section XIII. Disposal Considerations, Section VI. Accidental Release Measures"
T,T,Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, the specific chemical identity or exact percentage of the composition cannot be disclosed for the product.",Section X. Stability and Reactivity
39,39,,,
